dms_orig,dms_dest,sctg2_t,mode_t,tht_22,o1_t,o2_t,d1_t,d2_t,,,
061-Los Angeles CA,041-Phoenix AZ,27-Newsprint/paper,1-Truck,45.5954,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,28-Paper articles,1-Truck,61.7227,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,29-Printed prods.,1-Truck,36.1205,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,30-Textiles/leather,1-Truck,159.2692,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,31-Nonmetal min. prods.,1-Truck,223.5137,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,32-Base metals,1-Truck,121.186,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,33-Articles-base metal,1-Truck,242.5001,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,34-Machinery,1-Truck,123.022,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,35-Electronics,1-Truck,268.7521,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,36-Motorized vehicles,1-Truck,139.7623,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,37-Transport equip.,1-Truck,6.1047,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,38-Precision instruments,1-Truck,17.5849,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,39-Furniture,1-Truck,126.664,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,40-Misc. mfg. prods.,1-Truck,290.5391,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,41-Waste/scrap,1-Truck,1.1663,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,43-Mixed freight,1-Truck,682.6872,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,042-Tucson AZ,01-Live animals/fish,1-Truck,0.215,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,02-Cereal grains,1-Truck,0.9352,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,03-Other ag prods.,1-Truck,89.5754,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,04-Animal feed,1-Truck,11.2056,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,05-Meat/seafood,1-Truck,4.6389,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,06-Milled grain prods.,1-Truck,3.1863,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,07-Other foodstuffs,1-Truck,27.222,61,Los Angeles CA,42,Tucson AZ,,,
